LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D,cycle_days
92309139,FHA BOND,Wholesale,Purchase,571280.0,2023-10-26,23
82309144,NONCONFORMING,Wholesale,Refinance CashOut,300000.0,2023-10-11,23
92309145,CONFORMING,Wholesale,Purchase,446200.0,2023-10-30,42
82309115,NONCONFORMING,Wholesale,Purchase,355676.0,2023-10-04,20
82309117,2ND,Wholesale,Refinance CashOut,260000.0,2023-11-06,53
92309118,CONFORMING,Wholesale,Purchase,1000000.0,2023-10-13,29
82309119,NONCONFORMING,Wholesale,Purchase,1529540.0,2023-10-20,36
82309120,FHA,Wholesale,Purchase,100000.0,2023-10-27,43
92309121,NONCONFORMING,Wholesale,Purchase,196125.0,2023-09-29,15
92309122,2ND,Wholesale,Purchase,327500.0,2023-10-13,29
82309128,NONCONFORMING,Wholesale,Purchase,300000.0,2023-10-06,21
82309129,2ND,Wholesale,Refinance CashOut,295000.0,2023-10-23,38
82309169,NONCONFORMING,Wholesale,Refinance CashOut,528000.0,2023-10-05,15
82309171,2ND,Wholesale,Purchase,19425.0,2023-10-20,30
92309177,CONFORMING,Wholesale,Purchase,520000.0,2023-10-16,25
82309180,CONFORMING,Wholesale,Purchase,470250.0,2023-10-26,35
82309182,NONCONFORMING,Wholesale,Refinance CashOut,640000.0,2023-11-28,68
92309152,FHA,Wholesale,Purchase,282400.0,2023-10-30,41
92309157,NONCONFORMING,Wholesale,Purchase,184000.0,2023-10-18,28
32309158,CONFORMING,Retail,Purchase,500000.0,2023-10-11,21
82309160,FHA,Wholesale,Purchase,417840.0,2024-02-07,64
82309162,NONCONFORMING,Wholesale,Refinance CashOut,362000.0,2023-10-31,41
82309165,FHA BOND,Wholesale,Purchase,535575.0,2023-10-20,30
82309167,NONCONFORMING,Wholesale,Refinance CashOut,483000.0,2023-10-05,15
82309168,2ND,Wholesale,Refinance CashOut,125000.0,2023-10-10,20
52309207,2ND,Wholesale,Refinance CashOut,70000.0,2023-10-04,9
62309210,CONFORMING,Retail,Purchase,427500.0,2023-10-10,11
92309217,NONCONFORMING,Wholesale,Refinance CashOut,150000.0,2023-11-08,43
92309218,NONCONFORMING,Wholesale,Refinance CashOut,330000.0,2023-10-20,24
82309185,NONCONFORMING,Wholesale,Purchase,1199600.0,2023-10-17,25
82309187,NONCONFORMING,Wholesale,Purchase,204250.0,2023-10-02,10
92309192,NONCONFORMING,Wholesale,Purchase,558750.0,2023-10-12,20
82309221,2ND,Wholesale,Refinance CashOut,544850.0,2023-10-26,30
82309241,2ND,Wholesale,Refinance CashOut,100000.0,2023-10-24,26
82309243,NONCONFORMING,Wholesale,Purchase,400000.0,2023-11-01,34
92309256,NONCONFORMING,Wholesale,Refinance CashOut,500000.0,2023-11-30,62
52309257,2ND,Wholesale,Refinance CashOut,60000.0,2023-10-18,19
52309258,NONCONFORMING,Wholesale,Refinance CashOut,305000.0,2023-10-31,32
92309260,NONCONFORMING,Wholesale,Refinance CashOut,225000.0,2023-10-27,28
92309232,NONCONFORMING,Wholesale,Purchase,532000.0,2023-10-25,28
92309233,NONCONFORMING,Wholesale,Purchase,260000.0,2023-10-25,28
82309239,NONCONFORMING,Wholesale,Purchase,1560000.0,2023-10-31,29
82310016,NONCONFORMING,Wholesale,Refinance CashOut,300000.0,2023-10-27,24
92310017,2ND,Wholesale,Purchase,20720.0,2023-10-26,23
82310023,NONCONFORMING,Wholesale,Purchase,560250.0,2023-10-27,24
82310001,FHA,Wholesale,Purchase,188175.0,2023-11-06,35
92310002,CONFORMING,Wholesale,Purchase,1022000.0,2023-10-27,25
82310003,NONCONFORMING,Wholesale,Refinance CashOut,203000.0,2023-11-07,36
92310009,FHA,Wholesale,Purchase,450172.0,2023-10-30,27
92310013,NONCONFORMING,Wholesale,Purchase,286900.0,2023-11-21,49
82310014,NONCONFORMING,Wholesale,Refinance CashOut,198750.0,2023-12-18,76
82310051,NONCONFORMING,Wholesale,Purchase,467223.0,2024-01-30,116
82310061,NONCONFORMING,Wholesale,Refinance,2500000.0,2023-11-29,51
82310067,NONCONFORMING,Wholesale,Purchase,255000.0,2023-11-07,29
92310078,NONCONFORMING,Wholesale,Purchase,129500.0,2023-10-31,22
82310037,NONCONFORMING,Wholesale,Refinance CashOut,312500.0,2023-10-31,27
82310041,NONCONFORMING,Wholesale,Refinance CashOut,796000.0,2023-11-28,54
82310042,NONCONFORMING,Wholesale,Refinance CashOut,203000.0,2023-11-09,35
82310044,FHA,Wholesale,Purchase,266050.0,2023-11-09,35
92310045,FHA BOND,Wholesale,Purchase,298088.0,2023-10-26,21
92310046,2ND,Wholesale,Purchase,10811.0,2023-10-26,21
82511403,NONCONFORMING,Wholesale,Purchase,,2025-12-15,27
82512121,FHA,Wholesale,Purchase,,2025-12-30,26
82512340,NONCONFORMING,Wholesale,Purchase,,2025-12-23,12
82508300,NONCONFORMING,Wholesale,Purchase,229440.0,2025-09-05,23
82508304,2ND,Wholesale,Refinance CashOut,182000.0,2025-09-15,32
82508306,FHA,Wholesale,Purchase,583825.0,2025-08-29,15
82511385,NONCONFORMING,Wholesale,Purchase,,2025-12-10,22
82511393,NONCONFORMING,Wholesale,Refinance CashOut,,2025-12-12,24
82510526,NONCONFORMING,Wholesale,Refinance CashOut,575400.0,2025-11-18,27
82510528,CONVENTIONAL BOND STD MI,Wholesale,Purchase,465500.0,2025-11-21,30
82510530,2ND,Wholesale,Purchase,14175.0,2025-12-12,51
82510534,NONCONFORMING,Wholesale,Refinance CashOut,292000.0,2025-12-11,50
82510535,ZERO INTEREST PROGRAM,Wholesale,Purchase,9310.0,2025-11-21,30
82510536,NONCONFORMING,Wholesale,Refinance CashOut,601300.0,2025-12-02,41
82510539,NONCONFORMING,Wholesale,Refinance CashOut,432000.0,2025-12-23,62
82510541,NONCONFORMING,Wholesale,Refinance CashOut,522900.0,2025-12-02,41
82510544,CONFORMING,Wholesale,Refinance,651000.0,2025-11-24,32
82510563,FHA,Wholesale,Purchase,788405.0,2025-11-14,22
82510566,NONCONFORMING,Wholesale,Purchase,389000.0,2025-12-01,39
82510568,NONCONFORMING,Wholesale,Refinance,787500.0,2025-11-25,33
82510569,FHA,Wholesale,Refinance CashOut,450000.0,2025-12-24,62
82510548,FHA,Wholesale,Purchase,209887.0,2025-11-17,25
82510550,NONCONFORMING,Wholesale,Purchase,1396000.0,2025-11-19,27
82510552,NONCONFORMING,Wholesale,Purchase,668000.0,2025-11-14,22
82509449,NONCONFORMING,Wholesale,Refinance CashOut,700000.0,2025-10-17,30
82509451,NONCONFORMING,Wholesale,Refinance CashOut,785000.0,2025-10-23,36
82509453,NONCONFORMING,Wholesale,Purchase,450000.0,2025-09-30,13
82509454,NONCONFORMING,Wholesale,Refinance CashOut,390000.0,2025-10-10,23
82509455,FHA,Wholesale,Purchase,136000.0,2025-12-18,92
82509458,ZERO INTEREST PROGRAM,Wholesale,Purchase,6750.0,2025-10-16,31
82509459,NONCONFORMING,Wholesale,Purchase,661500.0,2025-10-14,27
82509462,FHA BOND,Wholesale,Purchase,304457.0,2025-10-21,34
82509463,NONCONFORMING,Wholesale,Purchase,292000.0,2025-10-09,22
82509464,ZERO INTEREST PROGRAM,Wholesale,Purchase,6195.0,2025-10-21,34
82509472,NONCONFORMING,Wholesale,Refinance,760450.0,2025-10-24,37
82509473,NONCONFORMING,Wholesale,Purchase,395080.0,2025-10-31,44
82509474,NONCONFORMING,Wholesale,Refinance CashOut,226000.0,2025-10-08,21
82509477,CONVENTIONAL BOND STD MI,Wholesale,Purchase,607750.0,2025-10-24,37
82509478,2ND,Wholesale,Refinance CashOut,272400.0,2025-11-20,64
82509483,ZERO INTEREST PROGRAM,Wholesale,Purchase,11042.0,2025-10-21,34
82509484,NONCONFORMING,Wholesale,Purchase,1136000.0,2025-10-20,33
82509486,NONCONFORMING,Wholesale,Refinance CashOut,497000.0,2025-10-03,16
82509487,NONCONFORMING,Wholesale,Refinance CashOut,371700.0,2025-10-03,16
82509488,NONCONFORMING,Wholesale,Refinance CashOut,378000.0,2025-10-03,16
82405277,2ND,Wholesale,Refinance CashOut,211329.0,2024-07-10,48
82405280,CONFORMING,Wholesale,Purchase,522500.0,2024-06-17,24
92405250,2ND,Wholesale,Refinance CashOut,127480.0,2024-07-08,47
52405305,NONCONFORMING,Wholesale,Purchase,600000.0,2024-06-18,21
82405288,NONCONFORMING,Wholesale,Refinance CashOut,273000.0,2024-06-28,35
82405289,FHA,Wholesale,Purchase,501500.0,2024-06-28,35
82405292,NONCONFORMING,Wholesale,Purchase,1184000.0,2024-06-24,31
82405294,NONCONFORMING,Wholesale,Purchase,362583.0,2024-06-20,27
82405297,NONCONFORMING,Wholesale,Refinance CashOut,191800.0,2024-06-17,20
82405302,CONFORMING,Wholesale,Purchase,348000.0,2024-06-25,28
82405308,NONCONFORMING,Wholesale,Purchase,383301.0,2024-06-28,31
82405312,NONCONFORMING,Wholesale,Purchase,945000.0,2024-06-07,9
92405286,NONCONFORMING,Wholesale,Refinance,485000.0,2024-06-26,33
52405320,2ND,Wholesale,Refinance CashOut,200000.0,2024-06-10,12
82405316,NONCONFORMING,Wholesale,Purchase,201500.0,2024-06-18,20
82405317,FHA,Wholesale,Refinance CashOut,353500.0,2024-07-02,34
82405318,FHA BOND,Wholesale,Purchase,313528.0,2024-07-01,33
82403341,NONCONFORMING,Wholesale,Purchase,480000.0,2024-04-30,39
82403342,FHA,Wholesale,Purchase,551000.0,2024-04-30,39
82403345,ZERO INTEREST PROGRAM,Wholesale,Purchase,150000.0,2024-08-19,26
82403346,CONFORMING,Wholesale,Purchase,220500.0,2024-04-02,11
82403347,FHA,Wholesale,Purchase,510485.0,2024-04-30,39
82403355,ZERO INTEREST PROGRAM,Wholesale,Purchase,150000.0,2025-02-14,25
82403359,NONCONFORMING,Wholesale,Purchase,330000.0,2024-04-25,31
92403344,NONCONFORMING,Wholesale,Purchase,298560.0,2024-05-17,56
92403360,FHA BOND,Wholesale,Purchase,410125.0,2024-04-26,32
92403361,ZERO INTEREST PROGRAM,Wholesale,Purchase,8346.0,2024-04-26,32
82403366,NONCONFORMING,Wholesale,Purchase,760000.0,2024-04-15,21
82403378,CONFORMING,Wholesale,Purchase,488800.0,2024-05-17,36
82403383,CONFORMING,Wholesale,Purchase,812500.0,2024-05-21,27
82403384,FHA,Wholesale,Refinance CashOut,375000.0,2024-04-24,29
82403389,NONCONFORMING,Wholesale,Purchase,150000.0,2024-04-10,15
82403393,FHA,Wholesale,Purchase,513000.0,2024-04-26,31
92403365,NONCONFORMING,Wholesale,Purchase,552000.0,2024-04-18,24
92403374,2ND,Wholesale,Purchase,14875.0,2024-04-26,32
92403377,NONCONFORMING,Wholesale,Purchase,172000.0,2024-04-16,22
