year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2024,10,1,ML,3420065.0,97623503.76485813,101043568.76485813,126058918.0,-19.844172575828292,under,fixed
2024,10,8,Transition Tables,20838040.0,62669897.79460258,83507937.79460257,126058918.0,-33.75483534246853,under,fixed
2024,10,8,ML,20838040.0,93779820.69499725,114617860.69499725,126058918.0,-9.07596026248833,under,fixed
2024,10,15,Transition Tables,40043907.0,77186781.77756782,117230688.77756782,126058918.0,-7.003256383996713,under,fixed
2024,10,15,ML,40043907.0,84194868.3092606,124238775.3092606,126058918.0,-1.4438825270096267,under,fixed
2024,10,22,Transition Tables,76450986.0,69744785.25186065,146195771.25186065,126058918.0,15.974159997042534,over,fixed
2024,10,22,ML,76450986.0,49942974.90380172,126393960.90380171,126058918.0,0.26578278563497537,over,fixed
2024,11,0,Transition Tables,0.0,53155276.73019258,53155276.73019258,114798743.0,-53.69698714367232,under,fixed
2024,11,0,ML,0.0,90182770.1300653,90182770.1300653,114798743.0,-21.442719864915848,under,fixed
2024,11,1,Transition Tables,3148655.0,53328676.701369695,56477331.701369695,114798743.0,-50.80317935069228,under,fixed
2024,11,1,ML,3148655.0,89075594.03900097,92224249.03900097,114798743.0,-19.664408660815237,under,fixed
2024,11,8,Transition Tables,19978799.0,58716380.63950625,78695179.63950625,114798743.0,-31.4494413588603,under,fixed
2024,11,8,ML,19978799.0,83556552.10365017,103535351.10365017,114798743.0,-9.811424412852528,under,fixed
2024,11,15,Transition Tables,38623946.0,68284371.75258015,106908317.75258015,114798743.0,-6.873267982925431,under,fixed
2024,11,15,ML,38623946.0,66046148.60208699,104670094.60208699,114798743.0,-8.822961064924735,under,fixed
2024,11,22,Transition Tables,71647768.0,81732060.1230323,153379828.1230323,114798743.0,33.60758499161642,over,fixed
2024,11,22,ML,71647768.0,50020047.94766216,121667815.94766216,114798743.0,5.983578537669319,over,fixed
2024,12,0,Transition Tables,0.0,50093276.38642496,50093276.38642496,94320370.0,-46.89028850668741,under,fixed
2024,12,0,ML,0.0,72987394.36713296,72987394.36713296,94320370.0,-22.617569919273045,under,fixed
2024,12,1,Transition Tables,0.0,50177186.19339274,50177186.19339274,94320370.0,-46.801325956002145,under,fixed
2024,12,1,ML,0.0,72689922.93375507,72689922.93375507,94320370.0,-22.932954001606365,under,fixed
2024,12,8,Transition Tables,17736565.0,52284020.92039219,70020585.92039219,94320370.0,-25.76302879177405,under,fixed
2024,12,8,ML,17736565.0,69068715.6115188,86805280.6115188,94320370.0,-7.967620767901143,under,fixed
2024,12,15,Transition Tables,33838526.0,58562100.90575109,92400626.90575108,94320370.0,-2.035343048642537,under,fixed
2024,12,15,ML,33838526.0,60827370.20386082,94665896.20386082,94320370.0,0.3663325365038531,over,fixed
2024,12,22,Transition Tables,60362776.0,62301213.83586875,122663989.83586875,94320370.0,30.050369645357357,over,fixed
2024,12,22,ML,60362776.0,38151586.76741173,98514362.76741174,94320370.0,4.446539774400523,over,fixed
2025,1,0,Transition Tables,0.0,42424554.306636415,42424554.306636415,79845963.0,-46.86700152061988,under,fixed
2025,1,0,ML,0.0,63233374.32249556,63233374.32249556,79845963.0,-20.80579662807053,under,fixed
2025,1,1,Transition Tables,0.0,42429981.34888993,42429981.34888993,79845963.0,-46.860204630646216,under,fixed
2025,1,1,ML,0.0,62809869.19715315,62809869.19715315,79845963.0,-21.336199305213274,under,fixed
2025,1,8,Transition Tables,14470905.0,43603921.9438012,58074826.9438012,79845963.0,-27.26642054050848,under,fixed
2025,1,8,ML,14470905.0,58264907.29035209,72735812.29035209,79845963.0,-8.904834311595575,under,fixed
2025,1,15,Transition Tables,34457740.0,38900944.97759846,73358684.97759846,79845963.0,-8.124741412914691,under,fixed
2025,1,15,ML,34457740.0,39924902.764911145,74382642.76491114,79845963.0,-6.842324933934174,under,fixed
2025,1,22,Transition Tables,44985830.0,47410143.84391779,92395973.84391779,79845963.0,15.717777546145678,over,fixed
2025,1,22,ML,44985830.0,32642724.304851584,77628554.30485159,79845963.0,-2.7771080864143483,under,fixed
2025,2,0,Transition Tables,0.0,39601174.23493706,39601174.23493706,78571970.0,-49.59885282889425,under,fixed
2025,2,0,ML,0.0,62139532.934556544,62139532.934556544,78571970.0,-20.913866695010263,under,fixed
2025,2,1,Transition Tables,0.0,39601174.23493706,39601174.23493706,78571970.0,-49.59885282889425,under,fixed
2025,2,1,ML,0.0,61696903.81251186,61696903.81251186,78571970.0,-21.477208968399466,under,fixed
2025,2,8,Transition Tables,12837602.0,45335757.43535483,58173359.43535483,78571970.0,-25.9616890917272,under,fixed
2025,2,8,ML,12837602.0,57554496.716071814,70392098.71607181,78571970.0,-10.410673531449174,under,fixed
2025,2,15,Transition Tables,34938631.0,46181819.24114349,81120450.2411435,78571970.0,3.2434979562603496,over,fixed
2025,2,15,ML,34938631.0,36595095.75556393,71533726.75556393,78571970.0,-8.957702402569351,under,fixed
2025,2,22,Transition Tables,55080977.0,48742898.79547675,103823875.79547675,78571970.0,32.13856773029459,over,fixed
2025,2,22,ML,55080977.0,24811625.12856276,79892602.12856276,78571970.0,1.6807929450703136,over,fixed
2025,3,0,Transition Tables,0.0,43701552.31862474,43701552.31862474,102069492.0,-57.184510805026115,under,fixed
2025,3,0,ML,0.0,76940473.927648,76940473.927648,102069492.0,-24.619519094257868,under,fixed
2025,3,1,Transition Tables,0.0,43701552.31862474,43701552.31862474,102069492.0,-57.184510805026115,under,fixed
2025,3,1,ML,0.0,76958415.07169212,76958415.07169212,102069492.0,-24.601941712718503,under,fixed
2025,3,8,Transition Tables,14467470.0,49922305.170890875,64389775.170890875,102069492.0,-36.91574836985485,under,fixed
2025,3,8,ML,14467470.0,82979302.69020036,97446772.69020036,102069492.0,-4.528992178975125,under,fixed
2025,3,15,Transition Tables,31890735.0,59280079.31176414,91170814.31176415,102069492.0,-10.677703469157903,under,fixed
2025,3,15,ML,31890735.0,72746422.5231407,104637157.5231407,102069492.0,2.515605273259025,over,fixed
