year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction
2025,4,8,ML,20411867.0,91317150.83851875,111729017.83851875,109199528.0,2.316392648252796,over
2025,4,15,Transition Tables,46130009.0,65550252.36651326,111680261.36651325,109199528.0,2.2717436713767225,over
2025,4,15,ML,46130009.0,64405234.00494318,110535243.00494318,109199528.0,1.2231875259966116,over
2025,4,22,Transition Tables,67029225.0,71797443.70174555,138826668.70174557,109199528.0,27.131198499086523,over
2025,4,22,ML,67029225.0,40923648.15170016,107952873.15170017,109199528.0,-1.1416302534749336,under
2025,5,1,Transition Tables,3122385.0,65677296.775985196,68799681.7759852,118258736.0,-41.82274891219436,under
2025,5,1,ML,3122385.0,107695082.48164546,110817467.48164546,118258736.0,-6.292362636409825,under
2025,5,8,Transition Tables,29874113.0,66977362.975560986,96851475.975561,118258736.0,-18.102053808894937,under
2025,5,8,ML,29874113.0,98850486.97840464,128724599.97840464,118258736.0,8.849971116218121,over
2025,5,15,Transition Tables,53556084.0,72106621.2428545,125662705.2428545,118258736.0,6.260822238836128,over
2025,5,15,ML,53556084.0,78251447.68730813,131807531.68730813,118258736.0,11.45690893170728,over
2025,5,22,Transition Tables,79391603.0,78312076.91938296,157703679.91938296,118258736.0,33.354782279579716,over
2025,5,22,ML,79391603.0,51111086.24974062,130502689.24974063,118258736.0,10.35352961132667,over
2025,6,1,Transition Tables,0.0,75067390.63938132,75067390.63938132,120863998.0,-37.8910247207102,under
2025,6,1,ML,0.0,124575083.34217906,124575083.34217906,120863998.0,3.070463830080368,over
2025,6,8,Transition Tables,27248921.0,81670296.63524541,108919217.63524541,120863998.0,-9.88282744440953,under
2025,6,8,ML,27248921.0,111426524.30254526,138675445.30254525,120863998.0,14.736768266217082,over
2025,6,15,Transition Tables,51389232.0,80684036.79550055,132073268.79550055,120863998.0,9.274284303834254,over
2025,6,15,ML,51389232.0,76845618.59588483,128234850.59588483,120863998.0,6.098468293167689,over
2025,6,22,Transition Tables,71715380.0,92024678.01426119,163740058.0142612,120863998.0,35.47463324377304,over
2025,6,22,ML,71715380.0,53062187.87669604,124777567.87669605,120863998.0,3.2379947225443018,over
2025,7,1,Transition Tables,4668630.0,78301253.72537175,82969883.72537175,140961218.0,-41.139921389320186,under
2025,7,1,ML,4668630.0,131232772.21336345,135901402.21336347,140961218.0,-3.589509127706694,under
2025,7,8,Transition Tables,25416795.0,80953021.16619992,106369816.16619992,140961218.0,-24.539658726416565,under
2025,7,8,ML,25416795.0,117309521.79199336,142726316.79199338,140961218.0,1.2521875286246318,over
2025,7,15,Transition Tables,59876880.0,86115983.5098839,145992863.50988388,140961218.0,3.569524711317322,over
2025,7,15,ML,59876880.0,94351960.34086223,154228840.3408622,140961218.0,9.41225007069832,over
2025,7,22,Transition Tables,92463867.0,79795505.98256391,172259372.9825639,140961218.0,22.203380069093836,over
2025,7,22,ML,92463867.0,53065434.882683575,145529301.88268358,140961218.0,3.2406671476714792,over
2025,8,1,Transition Tables,2644609.0,70952743.8703613,73597352.8703613,130656102.0,-43.670940932891675,under
2025,8,1,ML,2644609.0,114391350.47676745,117035959.47676745,130656102.0,-10.424421297393787,under
2025,8,8,Transition Tables,28525961.0,78308771.14453572,106834732.14453572,130656102.0,-18.23211429915786,under
2025,8,8,ML,28525961.0,108589869.98709968,137115830.98709968,130656102.0,4.944069881328373,over
2025,8,15,Transition Tables,53720271.0,84418563.10937706,138138834.10937706,130656102.0,5.727043739125982,over
2025,8,15,ML,53720271.0,90376197.1560955,144096468.1560955,130656102.0,10.286826218109205,over
2025,8,22,Transition Tables,82466416.0,95273687.13391212,177740103.13391212,130656102.0,36.03658796885898,over
2025,8,22,ML,82466416.0,65222041.57219228,147688457.57219228,130656102.0,13.036019987946895,over
2025,9,1,Transition Tables,0.0,80845714.70780903,80845714.70780903,139834285.0,-42.18462610381351,under
2025,9,1,ML,0.0,129192458.06048223,129192458.06048223,139834285.0,-7.610313121362022,under
2025,9,8,Transition Tables,31069199.0,83656654.19773072,114725853.19773072,139834285.0,-17.95584809710242,under
2025,9,8,ML,31069199.0,111516136.97998515,142585335.97998515,139834285.0,1.9673651422361458,over
2025,9,15,Transition Tables,66755927.0,93049269.83433634,159805196.83433634,139834285.0,14.281842135021709,over
2025,9,15,ML,66755927.0,87331367.02602476,154087294.02602476,139834285.0,10.192785714908728,over
2025,9,22,Transition Tables,97011174.0,98387241.0919868,195398415.0919868,139834285.0,39.735698646427664,over
2025,9,22,ML,97011174.0,51493267.43070785,148504441.43070784,139834285.0,6.200308050853081,over
2025,10,1,Transition Tables,5955791.0,105564396.00663841,111520187.00663841,175992168.0,-36.63343757056371,under
2025,10,1,ML,5955791.0,167178739.37809858,173134530.37809858,175992168.0,-1.6237299957015263,under
2025,10,8,Transition Tables,42493473.0,99810979.33390176,142304452.33390176,175992168.0,-19.14159933872639,under
2025,10,8,ML,42493473.0,141657769.03706405,184151242.03706405,175992168.0,4.63604382500933,over
2025,10,15,Transition Tables,74312326.0,103074724.99016052,177387050.99016052,175992168.0,0.7925824234181403,over
2025,10,15,ML,74312326.0,110971422.99420053,185283748.99420053,175992168.0,5.279542322701842,over
2025,10,22,Transition Tables,113070153.0,106443593.37854223,219513746.37854224,175992168.0,24.729269985777005,over
2025,10,22,ML,113070153.0,67866045.3291018,180936198.3291018,175992168.0,2.809233152410396,over
2025,11,1,Transition Tables,0.0,93887290.03612228,93887290.03612228,123264369.0,-23.83257968397804,under
2025,11,1,ML,0.0,154465173.21677348,154465173.21677348,123264369.0,25.312103140505656,over
2025,11,8,Transition Tables,28598212.0,100088069.12594321,128686281.12594321,123264369.0,4.398604535868118,over
2025,11,8,ML,28598212.0,138556213.99859577,167154425.99859577,123264369.0,35.60644276578885,over
2025,11,15,Transition Tables,62329701.0,99186939.52865323,161516640.52865323,123264369.0,31.03270786114456,over
2025,11,15,ML,62329701.0,95557815.93515092,157887516.93515092,123264369.0,28.0885289204303,over
2025,11,22,Transition Tables,99145392.0,93246600.53687865,192391992.53687865,123264369.0,56.08078319605777,over
2025,11,22,ML,99145392.0,49813853.2184925,148959245.2184925,123264369.0,20.845339514529545,over
2025,12,1,Transition Tables,6214200.0,85450734.20642954,91664934.20642954,93412090.0,-1.8703743739921235,under
2025,12,1,ML,6214200.0,107058120.60472879,113272320.60472879,93412090.0,21.26087812051822,over
2025,12,8,Transition Tables,37562996.0,71193341.64268377,108756337.64268377,93412090.0,16.42640437943715,over
2025,12,8,ML,37562996.0,73949335.96727867,111512331.96727867,93412090.0,19.376765863261035,over
2025,12,15,Transition Tables,68191001.0,51146781.72267472,119337782.72267473,93412090.0,27.75410840574783,over
2025,12,15,ML,68191001.0,39670129.336248115,107861130.33624811,93412090.0,15.468062363499325,over
2025,12,22,Transition Tables,80790898.0,42225912.87708394,123016810.87708394,93412090.0,31.692600901108136,over
2025,12,22,ML,80790898.0,20635784.475633748,101426682.47563374,93412090.0,8.579823527804313,over
